index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,cot_pass_5pct,cot_gap,l1_obj,l1_pass_1e4,l1_pass_1e2,l1_pass_5pct,l1_gap,l2_obj,l2_pass_1e4,l2_pass_1e2,l2_pass_5pct,l2_gap,final_obj,final_pass_1e4,final_pass_1e2,final_pass_5pct,final_gap,runtime_s,prompt_tokens,completion_tokens,total_tokens
28,28,,348595.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,284.098,7452,6462,13914
29,29,,346881.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,198.340,7449,11987,19436
30,30,,378951.5,313481.49999999994,False,False,False,0.1727661719243757,313481.49999999994,False,False,False,0.1727661719243757,313481.49999999994,False,False,False,0.1727661719243757,313481.49999999994,False,False,False,0.1727661719243757,303.077,7246,6016,13262
31,31,,399083.5,326659.49999999994,False,False,False,0.18147580644150926,326659.49999999994,False,False,False,0.18147580644150926,326659.49999999994,False,False,False,0.18147580644150926,326659.49999999994,False,False,False,0.18147580644150926,295.313,7304,6214,13518
32,32,,372422.0,403254.99999999965,False,False,False,0.08279049035771155,403254.99999999965,False,False,False,0.08279049035771155,403254.99999999965,False,False,False,0.08279049035771155,403254.99999999965,False,False,False,0.08279049035771155,280.447,7304,6241,13545
33,33,,406316.5,1472490.0,False,False,False,2.62399754870895,1472490.0,False,False,False,2.62399754870895,1472490.0,False,False,False,2.62399754870895,1472490.0,False,False,False,2.62399754870895,216.107,7249,8972,16221
34,34,,385892.0,385891.9999999987,True,True,True,3.3184635600019773e-15,385891.9999999987,True,True,True,3.3184635600019773e-15,385891.9999999987,True,True,True,3.3184635600019773e-15,385891.9999999987,True,True,True,3.3184635600019773e-15,309.378,7260,17773,25033
35,35,,365474.5,319861.99999999977,False,False,False,0.1248035088631361,319861.99999999977,False,False,False,0.1248035088631361,319861.99999999977,False,False,False,0.1248035088631361,319861.99999999977,False,False,False,0.1248035088631361,230.058,7381,6687,14068
36,36,,368586.0,238369.9999999999,False,False,False,0.3532852577146177,238369.9999999999,False,False,False,0.3532852577146177,238369.9999999999,False,False,False,0.3532852577146177,238369.9999999999,False,False,False,0.3532852577146177,229.226,7369,9387,16756
37,37,,384738.5,240851.0000000002,False,False,False,0.3739877865095378,240851.0000000002,False,False,False,0.3739877865095378,240851.0000000002,False,False,False,0.3739877865095378,240851.0000000002,False,False,False,0.3739877865095378,336.183,7361,6613,13974
38,38,,361787.5,232923.5000000001,False,False,False,0.35618698821822176,232923.5000000001,False,False,False,0.35618698821822176,232923.5000000001,False,False,False,0.35618698821822176,232923.5000000001,False,False,False,0.35618698821822176,334.507,7401,6626,14027
39,39,,362825.0,236226.0,False,False,False,0.3489257906704334,236226.0,False,False,False,0.3489257906704334,236226.0,False,False,False,0.3489257906704334,236226.0,False,False,False,0.3489257906704334,320.174,7360,9997,17357
40,40,,539902.33,297055.8333333335,False,False,False,0.44979708953407643,297055.8333333335,False,False,False,0.44979708953407643,297055.8333333335,False,False,False,0.44979708953407643,297055.8333333335,False,False,False,0.44979708953407643,323.552,7377,6208,13585
41,41,,522743.92,180069.0,False,False,False,0.6555311441977173,180069.0,False,False,False,0.6555311441977173,180069.0,False,False,False,0.6555311441977173,180069.0,False,False,False,0.6555311441977173,301.807,7287,9107,16394
42,42,,546708.5,595950.0000000002,False,False,False,0.09006902215714632,595950.0000000002,False,False,False,0.09006902215714632,595950.0000000002,False,False,False,0.09006902215714632,595950.0000000002,False,False,False,0.09006902215714632,310.920,7381,17729,25110
43,43,,542136.08,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,378.069,7446,18003,25449
44,44,,540282.08,540282.0833333335,True,True,True,6.169617046086886e-09,540282.0833333335,True,True,True,6.169617046086886e-09,540282.0833333335,True,True,True,6.169617046086886e-09,540282.0833333335,True,True,True,6.169617046086886e-09,282.456,7431,13206,20637
45,45,,454980.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,403.984,6507,20268,26775
46,46,,469130.5,592946.5,False,False,False,0.2639265620120627,592946.5,False,False,False,0.2639265620120627,592946.5,False,False,False,0.2639265620120627,592946.5,False,False,False,0.2639265620120627,515.860,6636,29453,36089
47,47,,443865.5,1199786.0000000002,False,False,False,1.7030395468897679,1199786.0000000002,False,False,False,1.7030395468897679,1199786.0000000002,False,False,False,1.7030395468897679,1199786.0000000002,False,False,False,1.7030395468897679,800.973,6656,8256,14912
48,48,,424617.5,231504.1269784496,False,False,False,0.4547937214588433,231504.1269784496,False,False,False,0.4547937214588433,231504.1269784496,False,False,False,0.4547937214588433,231504.1269784496,False,False,False,0.4547937214588433,819.642,6628,9239,15867
49,49,,472643.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,350.782,6609,20769,27378
50,50,,429782.4,276656.95000000024,False,False,False,0.3562859949593091,276656.95000000024,False,False,False,0.3562859949593091,276656.95000000024,False,False,False,0.3562859949593091,276656.95000000024,False,False,False,0.3562859949593091,230.388,7136,9255,16391
51,51,,428363.7,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,253.062,7169,10161,17330
52,52,,405046.03,325741.50749966386,False,False,False,0.19579138326657877,325741.50749966386,False,False,False,0.19579138326657877,325741.50749966386,False,False,False,0.19579138326657877,325741.50749966386,False,False,False,0.19579138326657877,248.533,7278,10206,17484
53,53,,428965.89,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,205.222,7103,6498,13601
54,54,,424383.49,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,221.759,7095,6655,13750
55,55,,1021145.0,345661.0000000001,False,False,False,0.6614966532666761,345661.0000000001,False,False,False,0.6614966532666761,345661.0000000001,False,False,False,0.6614966532666761,345661.0000000001,False,False,False,0.6614966532666761,216.697,7472,6555,14027
56,56,,1026458.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,205.662,7514,6748,14262
57,57,,1014502.0,563477.9999999999,False,False,False,0.4445767480004969,563477.9999999999,False,False,False,0.4445767480004969,563477.9999999999,False,False,False,0.4445767480004969,563477.9999999999,False,False,False,0.4445767480004969,204.808,7500,6811,14311
58,58,,1047182.0,707397.9999999998,False,False,False,0.3244746376465602,707397.9999999998,False,False,False,0.3244746376465602,707397.9999999998,False,False,False,0.3244746376465602,707397.9999999998,False,False,False,0.3244746376465602,193.189,7335,6230,13565
59,59,,1009032.0,922895.0000000001,False,False,False,0.08536597451815194,922895.0000000001,False,False,False,0.08536597451815194,922895.0000000001,False,False,False,0.08536597451815194,922895.0000000001,False,False,False,0.08536597451815194,203.123,7508,6775,14283
60,60,,735284.93,824754.5583333329,False,False,False,0.12168021495195451,824754.5583333329,False,False,False,0.12168021495195451,824754.5583333329,False,False,False,0.12168021495195451,824754.5583333329,False,False,False,0.12168021495195451,177.644,7055,6147,13202
61,61,,739353.78,202197.75289374872,False,False,False,0.7265209722823779,202197.75289374872,False,False,False,0.7265209722823779,202197.75289374872,False,False,False,0.7265209722823779,202197.75289374872,False,False,False,0.7265209722823779,237.511,7096,12074,19170
62,62,,771200.16,716245.2918229342,False,False,False,0.0712588910472553,716245.2918229342,False,False,False,0.0712588910472553,716245.2918229342,False,False,False,0.0712588910472553,716245.2918229342,False,False,False,0.0712588910472553,295.015,7201,17581,24782
63,63,,714169.2,657832.5520855673,False,False,False,0.07888417466677741,657832.5520855673,False,False,False,0.07888417466677741,657832.5520855673,False,False,False,0.07888417466677741,657832.5520855673,False,False,False,0.07888417466677741,306.687,7215,17979,25194
64,64,,693650.01,817218.2705585472,False,False,False,0.17814208718680363,817218.2705585472,False,False,False,0.17814208718680363,817218.2705585472,False,False,False,0.17814208718680363,817218.2705585472,False,False,False,0.17814208718680363,177.192,7200,6297,13497
65,65,,409419.62,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,186.007,7217,6494,13711
66,66,,414093.56,359838.17296212335,False,False,False,0.13102204979443932,359838.17296212335,False,False,False,0.13102204979443932,359838.17296212335,False,False,False,0.13102204979443932,359838.17296212335,False,False,False,0.13102204979443932,171.716,7170,5971,13141
67,67,,402309.0,393499.85597581393,False,False,True,0.021896462729359942,393499.85597581393,False,False,True,0.021896462729359942,393499.85597581393,False,False,True,0.021896462729359942,393499.85597581393,False,False,True,0.021896462729359942,216.580,7222,9609,16831
68,68,,399819.62,427002.87854270794,False,False,False,0.06798880590879444,427002.87854270794,False,False,False,0.06798880590879444,427002.87854270794,False,False,False,0.06798880590879444,427002.87854270794,False,False,False,0.06798880590879444,177.862,7169,5948,13117
69,69,,399408.82,409223.3416792717,False,False,True,0.02457262130383528,409223.3416792717,False,False,True,0.02457262130383528,409223.3416792717,False,False,True,0.02457262130383528,409223.3416792717,False,False,True,0.02457262130383528,186.738,7203,6195,13398
70,70,,562717.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,385.997,7200,17658,24858
71,71,,596190.0,425646.47425086756,False,False,False,0.2860556630422054,425646.47425086756,False,False,False,0.2860556630422054,425646.47425086756,False,False,False,0.2860556630422054,425646.47425086756,False,False,False,0.2860556630422054,171.211,7149,5742,12891
72,72,,555907.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,379.569,7164,19028,26192
73,73,,585562.5,632189.4999999997,False,False,False,0.0796277084000421,632189.4999999997,False,False,False,0.0796277084000421,632189.4999999997,False,False,False,0.0796277084000421,632189.4999999997,False,False,False,0.0796277084000421,345.934,7170,10309,17479
74,74,,575165.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,311.712,7139,14677,21816
75,75,,621810.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,302.374,7152,14499,21651
76,76,,596280.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,336.746,7206,17876,25082
77,77,,628599.5,628599.4999999999,True,True,True,1.8519792304469668e-16,628599.4999999999,True,True,True,1.8519792304469668e-16,628599.4999999999,True,True,True,1.8519792304469668e-16,628599.4999999999,True,True,True,1.8519792304469668e-16,175.308,7336,6386,13722
78,78,,621677.5,326377.9999999999,False,False,False,0.475004322980967,326377.9999999999,False,False,False,0.475004322980967,326377.9999999999,False,False,False,0.475004322980967,326377.9999999999,False,False,False,0.475004322980967,256.056,7192,9661,16853
79,79,,620242.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,220.506,7287,8694,15981
80,80,,595032.0,645959.9999999994,False,False,False,0.08558867422256185,645959.9999999994,False,False,False,0.08558867422256185,645959.9999999994,False,False,False,0.08558867422256185,645959.9999999994,False,False,False,0.08558867422256185,163.044,7125,5989,13114
81,81,,554930.0,606190.0000000008,False,False,False,0.09237201088425714,606190.0000000008,False,False,False,0.09237201088425714,606190.0000000008,False,False,False,0.09237201088425714,606190.0000000008,False,False,False,0.09237201088425714,208.531,7155,6037,13192
82,82,,596084.5,393900.9038610732,False,False,False,0.3391861324005687,393900.9038610732,False,False,False,0.3391861324005687,393900.9038610732,False,False,False,0.3391861324005687,393900.9038610732,False,False,False,0.3391861324005687,203.394,7183,5770,12953
83,83,,585244.5,388117.85056622984,False,False,False,0.33682785474065996,388117.85056622984,False,False,False,0.33682785474065996,388117.85056622984,False,False,False,0.33682785474065996,388117.85056622984,False,False,False,0.33682785474065996,214.273,7209,8022,15231
84,84,,621889.5,397121.78793844004,False,False,False,0.36142708963820736,397121.78793844004,False,False,False,0.36142708963820736,397121.78793844004,False,False,False,0.36142708963820736,397121.78793844004,False,False,False,0.36142708963820736,215.620,7177,6011,13188
85,85,,566687.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,270.523,7192,15908,23100
86,86,,546510.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,239.763,7191,15957,23148
87,87,,556194.0,272403.9999999997,False,False,False,0.5102356372057237,272403.9999999997,False,False,False,0.5102356372057237,272403.9999999997,False,False,False,0.5102356372057237,272403.9999999997,False,False,False,0.5102356372057237,226.330,7241,6468,13709
88,88,,565214.0,278817.00000000064,False,False,False,0.5067054248479326,278817.00000000064,False,False,False,0.5067054248479326,278817.00000000064,False,False,False,0.5067054248479326,278817.00000000064,False,False,False,0.5067054248479326,223.923,7349,6564,13913
89,89,,550111.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,261.368,7348,14814,22162
90,90,,586968.0,500585.0,False,False,False,0.1471681590819261,500585.0,False,False,False,0.1471681590819261,500585.0,False,False,False,0.1471681590819261,500585.0,False,False,False,0.1471681590819261,215.560,7144,6328,13472
91,91,,581911.0,551961.0000000001,False,False,False,0.05146835168951933,551961.0000000001,False,False,False,0.05146835168951933,551961.0000000001,False,False,False,0.05146835168951933,551961.0000000001,False,False,False,0.05146835168951933,316.804,7329,17889,25218
92,92,,653731.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,289.698,7233,18711,25944
93,93,,603673.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,292.257,7230,18706,25936
94,94,,613811.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,264.677,6230,16119,22349
95,95,,484996.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,345.083,7193,21408,28601
96,96,,496085.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,334.367,7311,21117,28428
97,97,,516706.5,568627.4999999998,False,False,False,0.10048451103285863,568627.4999999998,False,False,False,0.10048451103285863,568627.4999999998,False,False,False,0.10048451103285863,568627.4999999998,False,False,False,0.10048451103285863,189.208,7242,9011,16253
98,98,,476425.5,330945.99999999936,False,False,False,0.30535624142704504,330945.99999999936,False,False,False,0.30535624142704504,330945.99999999936,False,False,False,0.30535624142704504,330945.99999999936,False,False,False,0.30535624142704504,209.618,7254,10481,17735
99,99,,498825.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,301.661,7237,19798,27035
100,100,,5783150.0,5783150.0,True,True,True,0.0,5783150.0,True,True,True,0.0,5783150.0,True,True,True,0.0,5783150.0,True,True,True,0.0,347.959,7206,23151,30357
101,101,,5715150.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,285.796,7269,18170,25439
102,102,,5800830.0,5092210.0,False,False,False,0.12215838078343962,5092210.0,False,False,False,0.12215838078343962,5092210.0,False,False,False,0.12215838078343962,5092210.0,False,False,False,0.12215838078343962,180.325,7410,6543,13953
103,103,,5759780.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,202.245,7323,9137,16460
104,104,,5721560.0,4378515.779936087,False,False,False,0.23473392222818823,4378515.779936087,False,False,False,0.23473392222818823,4378515.779936087,False,False,False,0.23473392222818823,4378515.779936087,False,False,False,0.23473392222818823,315.526,7322,21386,28708
105,105,,1428630.0,1428985.0,False,True,True,0.00024848981191771135,1428985.0,False,True,True,0.00024848981191771135,1428985.0,False,True,True,0.00024848981191771135,1428985.0,False,True,True,0.00024848981191771135,196.279,7044,9362,16406
106,106,,1429573.41,1429952.7234708506,False,True,True,0.0002653333282483889,1429952.7234708506,False,True,True,0.0002653333282483889,1429952.7234708506,False,True,True,0.0002653333282483889,1429952.7234708506,False,True,True,0.0002653333282483889,171.250,7221,6276,13497
107,107,,1410267.58,1410632.677089669,False,True,True,0.00025888497675665827,1410632.677089669,False,True,True,0.00025888497675665827,1410632.677089669,False,True,True,0.00025888497675665827,1410632.677089669,False,True,True,0.00025888497675665827,208.600,7224,12066,19290
108,108,,1436742.02,1437167.224544129,False,True,True,0.00029595051735807306,1437167.224544129,False,True,True,0.00029595051735807306,1437167.224544129,False,True,True,0.00029595051735807306,1437167.224544129,False,True,True,0.00029595051735807306,204.646,7167,13144,20311
109,109,,1464342.93,1464776.7061718209,False,True,True,0.0002962258108631267,1464776.7061718209,False,True,True,0.0002962258108631267,1464776.7061718209,False,True,True,0.0002962258108631267,1464776.7061718209,False,True,True,0.0002962258108631267,258.034,7182,15491,22673
110,110,,659015.8,703793.9999999994,False,False,False,0.06794708108667405,703793.9999999994,False,False,False,0.06794708108667405,703793.9999999994,False,False,False,0.06794708108667405,703793.9999999994,False,False,False,0.06794708108667405,163.160,7088,7155,14243
111,111,,667215.07,729074.7189672032,False,False,False,0.0927132071030758,729074.7189672032,False,False,False,0.0927132071030758,729074.7189672032,False,False,False,0.0927132071030758,729074.7189672032,False,False,False,0.0927132071030758,167.288,7282,6212,13494
112,112,,671493.21,721099.0156480809,False,False,False,0.07387387528174841,721099.0156480809,False,False,False,0.07387387528174841,721099.0156480809,False,False,False,0.07387387528174841,721099.0156480809,False,False,False,0.07387387528174841,259.524,7131,15746,22877
113,113,,661575.96,721573.9043475171,False,False,False,0.09068942642280578,721573.9043475171,False,False,False,0.09068942642280578,721573.9043475171,False,False,False,0.09068942642280578,721573.9043475171,False,False,False,0.09068942642280578,161.486,7287,6058,13345
114,114,,670873.86,704311.1296993914,False,False,True,0.049841366153976316,704311.1296993914,False,False,True,0.049841366153976316,704311.1296993914,False,False,True,0.049841366153976316,704311.1296993914,False,False,True,0.049841366153976316,252.589,7205,11147,18352
115,115,,694823.0,653931.0199999999,False,False,False,0.058852369596285814,653931.0199999999,False,False,False,0.058852369596285814,653931.0199999999,False,False,False,0.058852369596285814,653931.0199999999,False,False,False,0.058852369596285814,238.068,7325,11615,18940
116,116,,686020.85,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,187.254,7285,12780,20065
117,117,,709631.25,715569.5888070989,False,True,True,0.008368203636887351,715569.5888070989,False,True,True,0.008368203636887351,715569.5888070989,False,True,True,0.008368203636887351,715569.5888070989,False,True,True,0.008368203636887351,314.963,7335,20828,28163
118,118,,664512.16,680413.7261009739,False,False,True,0.02392968414750133,680413.7261009739,False,False,True,0.02392968414750133,680413.7261009739,False,False,True,0.02392968414750133,680413.7261009739,False,False,True,0.02392968414750133,310.931,6416,22369,28785
119,119,,736925.88,774307.729977755,False,False,False,0.050726743343245034,774307.729977755,False,False,False,0.050726743343245034,774307.729977755,False,False,False,0.050726743343245034,774307.729977755,False,False,False,0.050726743343245034,179.327,7428,6246,13674
120,120,,755550.05,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,179.347,7229,6354,13583
121,121,,768101.67,650191.5,False,False,False,0.15350854529453117,650191.5,False,False,False,0.15350854529453117,650191.5,False,False,False,0.15350854529453117,650191.5,False,False,False,0.15350854529453117,192.103,7306,9604,16910
122,122,,766436.12,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,398.247,7354,23473,30827
123,123,,764703.38,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,261.236,7274,16828,24102
124,124,,759745.35,640563.4999999998,False,False,False,0.15687078571787272,640563.4999999998,False,False,False,0.15687078571787272,640563.4999999998,False,False,False,0.15687078571787272,640563.4999999998,False,False,False,0.15687078571787272,225.311,7250,11287,18537
125,125,,528518.0,257384.99999999997,False,False,False,0.5130061795435539,257384.99999999997,False,False,False,0.5130061795435539,257384.99999999997,False,False,False,0.5130061795435539,257384.99999999997,False,False,False,0.5130061795435539,161.219,7348,6043,13391
126,126,,486598.0,301379.4999999999,False,False,False,0.3806396655966529,301379.4999999999,False,False,False,0.3806396655966529,301379.4999999999,False,False,False,0.3806396655966529,301379.4999999999,False,False,False,0.3806396655966529,206.515,7365,10256,17621
127,127,,514981.0,514981.00000000006,True,True,True,1.1302875429087172e-16,514981.00000000006,True,True,True,1.1302875429087172e-16,514981.00000000006,True,True,True,1.1302875429087172e-16,514981.00000000006,True,True,True,1.1302875429087172e-16,166.836,7402,6277,13679
128,128,,510229.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,334.696,7280,22645,29925
129,129,,502283.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,307.902,7401,20504,27905
130,130,,506120.72,409558.5,False,False,False,0.1907889090175956,409558.5,False,False,False,0.1907889090175956,409558.5,False,False,False,0.1907889090175956,409558.5,False,False,False,0.1907889090175956,180.002,7355,6375,13730
131,131,,511116.43,372292.99999999994,False,False,False,0.27160823219867936,372292.99999999994,False,False,False,0.27160823219867936,372292.99999999994,False,False,False,0.27160823219867936,372292.99999999994,False,False,False,0.27160823219867936,309.073,7346,20387,27733
132,132,,486970.87,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,201.217,7237,9476,16713
133,133,,514497.87,318613.50000000006,False,False,False,0.38072921468071375,318613.50000000006,False,False,False,0.38072921468071375,318613.50000000006,False,False,False,0.38072921468071375,318613.50000000006,False,False,False,0.38072921468071375,177.001,7411,6283,13694
134,134,,510333.63,418950.49999999994,False,False,False,0.1790654674276513,418950.49999999994,False,False,False,0.1790654674276513,418950.49999999994,False,False,False,0.1790654674276513,418950.49999999994,False,False,False,0.1790654674276513,176.560,7408,6352,13760
135,135,,399680.25,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,193.118,7127,9196,16323
136,136,,399656.42,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,176.087,7343,6114,13457
137,137,,407555.67,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,197.796,7245,9895,17140
138,138,,403105.47,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,218.371,7178,11516,18694
139,139,,401053.48,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,178.808,7179,8404,15583
140,140,,733496.92,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,179.428,7212,8469,15681
141,141,,718711.42,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,183.595,7282,10440,17722
142,142,,715371.42,715371.4166666667,True,True,True,4.65958410476146e-09,715371.4166666667,True,True,True,4.65958410476146e-09,715371.4166666667,True,True,True,4.65958410476146e-09,715371.4166666667,True,True,True,4.65958410476146e-09,214.261,7205,12905,20110
143,143,,714690.83,714690.8333333331,True,True,True,4.664021198113474e-09,714690.8333333331,True,True,True,4.664021198113474e-09,714690.8333333331,True,True,True,4.664021198113474e-09,714690.8333333331,True,True,True,4.664021198113474e-09,246.945,7286,15035,22321
144,144,,719933.0,454751.5000000002,False,False,False,0.36834191515043735,454751.5000000002,False,False,False,0.36834191515043735,454751.5000000002,False,False,False,0.36834191515043735,454751.5000000002,False,False,False,0.36834191515043735,204.967,7191,10404,17595
